,Cities,Population,Elevation,AQI,Latitude,Longitude,PM25,PM10,O3
315,Jinzhou ,604269.0,26.0,78,41.09512,121.127004,78.0,17.0,9.0
316,Jinzhou ,604269.0,26.0,78,41.09512,121.127004,78.0,17.0,9.0
317,Jinzhou ,604269.0,26.0,78,41.09512,121.127004,78.0,17.0,9.0
318,Jinzhou ,604269.0,26.0,78,41.09512,121.127004,78.0,17.0,9.0
319,Chenghai,152453.0,13.0,68,23.4714,116.7519,68.0,26.0,10.0
320,Jiamusi,549549.0,81.0,57,46.799778,130.318879,57.0,15.0,3.0
321,Jodhpur,921476.0,237.0,163,26.268248999999997,73.0193853,163.0,46.0,12.0
322,Yuyao,114177.0,59.0,74,30.053171000000003,121.158024,74.0,29.0,2.0
323,Saratov,863725.0,72.0,42,51.52003,46.02362,42.0,9.0,18.0
324,Ankang,132654.0,273.0,80,32.6975,109.0072,80.0,10.0,11.0
325,Gaomi,150793.0,24.0,38,36.3432,119.7478,38.0,19.0,10.0
326,Sakai,782339.0,7.0,9,34.5939598,135.47178180000003,9.0,16.0,1.0
327,Haikou,615835.0,14.0,97,20.030793,110.32885900000001,97.0,28.0,22.0
328,Qinhuangdao,759718.0,6.0,23,39.935377,119.60049199999999,9.0,27.0,7.0
329,Kermanshah,621100.0,1392.0,52,34.3103825,47.070291499999996,20.0,18.0,8.0
330,Liverpool,864122.0,30.0,19,53.37286999999999,-3.022722,17.0,5.0,27.0
331,Guwahati,899094.0,59.0,168,26.1445,91.7362,168.0,35.0,7.0
332,Konya,875530.0,1030.0,149,37.8605257547351,32.4758067564465,149.0,20.0,27.0
333,Bengbu,576648.0,31.0,46,32.916287,117.389719,46.0,46.0,4.0
334,Yibin,242111.0,262.0,119,28.751812,104.64338199999999,119.0,22.0,8.0
335,Chandigarh,960787.0,351.0,162,30.751462,76.762879,162.0,47.0,13.0
336,Yinchuan,475101.0,1117.0,132,38.487194,106.23090900000001,132.0,7.0,10.0
337,Guilin,649352.0,160.0,61,25.273566,110.290195,61.0,46.0,17.0
338,Hamamatsu,605098.0,3.0,28,34.710834399999996,137.7261258,5.0,12.0,8.0
339,Sao Bernardo Do Campo,743372.0,796.0,31,-23.698671085999997,-46.546232187,13.0,68.0,13.0
340,Bishkek,900000.0,767.0,53,42.827625,74.58384000000001,53.0,15.0,8.0
341,Suihua,252245.0,183.0,57,46.6384,126.9934,57.0,19.0,6.0
342,Marseille,794811.0,28.0,19,43.30608,5.39579,19.0,9.0,25.0
343,Kaifeng,900000.0,76.0,80,34.797239000000005,114.30758200000001,80.0,19.0,4.0
344,Tongliao,261110.0,182.0,59,43.6801,122.2532,59.0,14.0,7.0
345,Dongying,306450.0,6.0,61,37.434751,118.67476699999999,61.0,40.0,1.0
346,Mysore,868313.0,757.0,49,12.351144099999999,76.62491709999999,49.0,15.0,5.0
347,Niigata,505272.0,-2.0,27,37.9161924,139.0364126,17.0,7.0,11.0
348,Indianapolis ,829718.0,218.0,52,39.787933,-86.13088,52.0,9.0,10.0
349,Jiaozhou,165026.0,10.0,30,36.27582778,120.01977778,30.0,19.0,6.0
350,Pingxiang ,372123.0,167.0,80,27.622768,113.854556,80.0,46.0,6.0
351,Haiphong,602695.0,12.0,-,21.0201158,106.7004633,13.0,27.0,24.0
352,Jacksonville ,12222.0,216.0,31,30.356388888888997,-81.635277777778,31.0,10.0,10.0
353,Dandong,631973.0,10.0,34,40.0005,124.354707,34.0,38.0,3.0
354,Xinyu,97480.0,68.0,65,27.817809000000004,114.91734699999999,65.0,46.0,5.0
355,Xinxiang,743601.0,82.0,82,35.302928,113.926975,82.0,19.0,3.0
356,Port Elizabeth,967677.0,75.0,33,-33.985586,25.5885,33.0,9.0,8.0
357,Nantong,666251.0,6.0,55,31.980175,120.89433899999999,55.0,58.0,4.0
358,Anyang,781129.0,70.0,70,36.097592999999996,114.392756,70.0,51.0,1.0
359,Renqiu,98569.0,13.0,78,38.675,116.09100000000001,78.0,45.0,1.0
360,Foshan,3600000.0,5.0,59,23.021548000000003,113.121416,59.0,28.0,10.0
361,Goyang,1073069.0,29.0,55,37.6583599,126.8320201,55.0,24.0,1.0
362,Bucheon ,868517.0,17.0,38,37.5034138,126.76603090000002,38.0,24.0,1.0
363,Dongyang,130387.0,97.0,39,29.298189,120.24607900000001,34.0,23.0,2.0
364,Lviv,717803.0,284.0,16,49.8475,24.0155,16.0,9.0,20.0
365,Kunshan,1600000.0,10.0,50,31.3875,120.9531,50.0,106.0,1.0
366,Salem,778396.0,283.0,12,44.943114,-123.00593400000001,12.0,2.0,10.0
367,Huaibei,903039.0,51.0,25,33.955845000000004,116.79826499999999,25.0,51.0,1.0
368,Liyang,72276.0,9.0,42,31.4,119.46,42.0,56.0,2.0
369,Samut Prakan,388920.0,5.0,129,13.599148999999999,100.59734499999999,129.0,57.0,3.0
370,Rongcheng,91517.0,12.0,68,23.549993,116.372831,68.0,19.0,6.0
371,Laixi,75849.0,54.0,38,36.864444,120.536667,38.0,19.0,8.0
372,Liaoyang,687890.0,33.0,57,41.267244,123.236944,57.0,46.0,2.0
373,Zhaotong,109400.0,1974.0,104,27.3361,103.7225,104.0,10.0,5.0
374,Jerusalem,801000.0,786.0,109,31.768319,35.21371,109.0,37.0,20.0
375,Tainan,771235.0,26.0,79,22.984581,120.20261699999999,78.0,45.0,1.0
376,Cuernavaca,338650.0,1540.0,18,18.90861,-99.21167,18.0,18.0,4.0
377,Linfen,232566.0,451.0,57,36.088066999999995,111.51888000000001,57.0,15.0,13.0
378,Shangyu,770000.0,13.0,76,29.99,120.89222222222222,76.0,37.0,1.0
379,Aguascalientes,722250.0,1882.0,71,21.903003362672,-102.28461279505,71.0,10.0,7.0
380,Hamilton,902.0,22.0,46,43.2500208,-79.86609140000002,46.0,10.0,6.0
381,Langfang,720119.0,18.0,53,39.538047,116.683752,53.0,51.0,1.0
382,Osasco,677856.0,750.0,53,-23.526721419,-46.792077661,53.0,79.0,16.0
383,Nonthaburi,291555.0,1.0,85,13.907860999999999,100.535641,85.0,59.0,9.0
384,Yichang,476725.0,63.0,87,30.691966999999998,111.28647099999999,87.0,19.0,4.0
385,Yangzhou,539715.0,14.0,38,32.39421,119.412966,38.0,58.0,1.0
386,Jalandhar,785178.0,243.0,186,31.321907,75.578914,186.0,58.0,11.0
387,Xiangtan,674189.0,31.0,102,27.829738,112.94404899999999,102.0,46.0,8.0
388,Winnipeg,632063.0,245.0,18,49.89798,-97.1465,18.0,4.0,11.0
389,Kota,763088.0,267.0,172,25.1438895,75.8212555,172.0,55.0,6.0
390,Sevilla,703206.0,16.0,57,37.4005114,-5.9549858,57.0,21.0,10.0
391,Navi Mumbai ,2600000.0,14.0,167,19.008751,73.01661999999999,167.0,49.0,8.0
392,Saltillo,709671.0,1592.0,73,25.421472222222,-100.99686111111001,73.0,12.0,8.0
393,Shizuoka,701561.0,23.0,31,34.975562,138.38275959999999,13.0,9.0,9.0
394,Yingkou,591159.0,4.0,30,40.667012,122.235418,30.0,40.0,3.0
395,Wuhu,507524.0,19.0,68,31.352859000000002,118.43294099999999,68.0,67.0,1.0
396,Zhenjiang,632552.0,26.0,70,32.187849,119.425836,70.0,58.0,1.0
397,Hegang,743307.0,167.0,61,47.349916,130.29796399999998,61.0,3.0,8.0
398,Linqing,110046.0,36.0,102,36.811944,115.733056,102.0,28.0,3.0
399,Austin ,793.0,47.0,50,30.354435600000002,-97.7602554,50.0,6.0,7.0
400,Yancheng,628441.0,3.0,42,33.347378000000006,120.16356100000002,42.0,42.0,2.0
401,Qiongshan,87657.0,18.0,85,20.030793,110.32885900000001,85.0,28.0,22.0
402,Wendeng,115370.0,45.0,24,37.195254,122.062606,13.0,15.0,12.0
403,Okayama,639652.0,5.0,-,34.6551456,133.9195019,50.0,17.0,22.0
404,Antalya,758188.0,61.0,81,36.8877038453118,30.72677602063,81.0,23.0,27.0
405,Kumamoto,680423.0,9.0,28,32.8031004,130.70789109999998,13.0,10.0,6.0
406,Mexicali,689775.0,4.0,42,32.640027777778,-115.47463888889,34.0,19.0,6.0
407,Nottingham,729977.0,46.0,17,52.954730000000005,-1.146447,17.0,7.0,23.0
408,Haining,70171.0,7.0,50,30.523821999999996,120.67829099999999,50.0,58.0,3.0
409,Yangquan,413394.0,722.0,70,37.856972,113.580519,70.0,30.0,6.0
410,Chenzhou,179038.0,180.0,93,25.77051,113.01471799999999,93.0,46.0,6.0
411,Morelia,597511.0,1917.0,80,19.702153,-101.19094799999999,80.0,17.0,5.0
412,Huangshi ,688090.0,22.0,55,30.199652,115.03851999999999,55.0,28.0,4.0
413,Qixia,79106.0,135.0,57,37.306944,120.83694399999999,57.0,19.0,14.0
414,Qujing,146015.0,1887.0,61,25.49001,103.79616700000001,61.0,19.0,7.0
415,Moradabad,721139.0,205.0,257,28.8253591,78.78303829999999,257.0,63.0,13.0
416,Sheffield,685368.0,75.0,20,53.378622,-1.4780959999999999,10.0,5.0,27.0
417,Acheng,144665.0,139.0,122,45.5422,126.979,122.0,19.0,3.0
418,Wroclaw,634893.0,119.0,29,51.086225,17.012689,29.0,34.0,6.0
419,Jieyang,1001985.0,7.0,68,23.549993,116.372831,68.0,19.0,6.0
420,Shaoxing,421283.0,21.0,97,29.995762,120.58610900000001,97.0,31.0,1.0
421,Qionglai,55587.0,511.0,39,30.4175,103.438333,17.0,71.0,26.0
422,Deyang,152194.0,501.0,132,31.126856,104.398021,132.0,25.0,7.0
423,Fuxin,689050.0,142.0,24,42.021619,121.670324,21.0,10.0,10.0
424,Puente Alto,510417.0,700.0,67,-33.591390623022,-70.594788,34.0,19.0,10.0
425,Qufu,85144.0,69.0,68,35.58291899,116.9925683,68.0,28.0,7.0
426,Bhiwandi,707035.0,9.0,159,19.25292,73.14201899999999,159.0,46.0,11.0
427,Jeonju ,711424.0,44.0,42,35.8242238,127.14795320000002,42.0,23.0,1.0
428,Charlotte ,530.0,183.0,30,35.281791,-80.851473,30.0,9.0,9.0
429,Weihai,152595.0,14.0,50,37.513068,122.12042,50.0,22.0,9.0
430,Lanxi,72528.0,164.0,55,29.212484999999997,119.46626299999998,55.0,28.0,2.0
431,Yuncheng,201950.0,361.0,144,35.026412,111.007529,144.0,18.0,10.0
432,Kagoshima,555352.0,6.0,27,31.5965535,130.55711580000002,21.0,14.0,11.0
433,Orumiyeh,1040565.0,1503.0,111,37.554140000000004,45.047090000000004,99.0,8.0,9.0
434,Binzhou,115893.0,14.0,59,37.38199,117.970703,59.0,47.0,2.0
435,El Paso ,681124.0,1133.0,74,31.765697600000003,-106.45522040000002,74.0,27.0,6.0
436,Zhaoyuan,120000.0,74.0,23,37.373611,120.39861100000002,5.0,19.0,12.0
437,Huizhou,289201.0,25.0,68,23.111847,114.416196,68.0,19.0,15.0
438,Tianchang,61292.0,281.0,70,38.088,114.06,70.0,24.0,5.0
439,Dortmund,588462.0,96.0,33,51.523543,7.483561999999999,33.0,9.0,15.0
440,Shihezi,572772.0,467.0,157,44.2967,86.0497,157.0,9.0,5.0
441,Shiyan,3460000.0,247.0,76,32.629397,110.797991,76.0,25.0,11.0
442,Cheongju,670680.0,81.0,53,36.6424341,127.48903190000001,53.0,19.0,1.0
443,Jingmen,167750.0,94.0,122,31.035422999999998,112.199265,122.0,19.0,13.0
444,Anqing,358661.0,19.0,119,30.543494,117.063755,119.0,46.0,6.0
445,Stuttgart,589793.0,252.0,21,48.783150000042,9.180730555852302,21.0,5.0,22.0
446,Kingston,880.0,71.0,22,44.219722,-76.521111,21.0,1.0,13.0
447,Milwaukee ,600155.0,188.0,24,43.01724,-87.93369,24.0,3.0,13.0
448,Glasgow,591620.0,40.0,16,55.85917,-4.258889,10.0,10.0,17.0
449,Funabashi,560743.0,11.0,33,35.694705799999994,139.982618,21.0,29.0,2.0
450,Zhangzhou,589831.0,14.0,109,24.512949,117.647481,109.0,31.0,36.0
451,Xianning,179494.0,30.0,70,29.841442999999998,114.322492,70.0,28.0,2.0
452,Poznan,570352.0,69.0,18,52.398175,16.95951944,18.0,9.0,20.0
453,Kayseri,592840.0,1054.0,112,38.717304999999996,35.486887,112.0,26.0,25.0
454,Chon Buri,219164.0,8.0,91,13.35461667,100.9792167,91.0,44.0,13.0
455,Samarinda,355160.0,24.0,21,-0.4948232,117.14361540000002,21.0,24.0,3.0
456,Helsinki,558457.0,26.0,18,60.17332439999999,24.9410248,11.0,4.0,25.0
457,Akesu,340020.0,1119.0,162,41.1636,80.2828,162.0,8.0,6.0
458,Novokuznetsk,539616.0,208.0,8,53.77754,87.13096,8.0,41.0,6.0
459,Hachioji,579399.0,127.0,33,35.6663394,139.31580559999998,1.0,24.0,2.0
460,Beihai,289568.0,3.0,87,21.481254,109.119927,87.0,46.0,22.0
461,Yongkang,536000.0,121.0,74,28.8911,120.0317,74.0,28.0,2.0
462,Louisville ,243639.0,142.0,27,38.288191,-85.741337,27.0,9.0,10.0
463,Chizhou,148375.0,21.0,107,30.6648,117.49156799999999,107.0,46.0,3.0
464,Huaiyin,4800000.0,7.0,70,33.61036,119.01528799999998,70.0,56.0,1.0
465,Dezhou,379555.0,24.0,72,37.434093,116.35746499999999,72.0,31.0,1.0
466,Jiujiang,258807.0,41.0,76,29.705078000000004,116.00193,76.0,46.0,4.0
467,Bristol,617280.0,21.0,24,51.462839,-2.584482,21.0,7.0,24.0
468,Botou,63045.0,17.0,115,38.079,116.57,114.0,20.0,1.0
469,Astana,345604.0,358.0,137,51.125285999999996,71.46722,137.0,1.0,10.0
470,Nashville-Davidson ,530852.0,170.0,35,36.1767,-86.7386,35.0,8.0,10.0
471,Oslo,580000.0,26.0,153,59.90309499999999,10.758408,153.0,12.0,15.0
472,Vilnius,542366.0,98.0,3,54.7117424,25.2974345,53.0,17.0,13.0
473,Songyuan,113611.0,134.0,50,45.0878,124.8292,50.0,10.0,8.0
474,Yangjiang,399735.0,15.0,55,21.857958,111.98223200000001,55.0,28.0,20.0
475,Jiangmen,532419.0,11.0,63,22.578738,113.081901,63.0,28.0,7.0
476,Shaoguan,628749.0,69.0,78,24.810403,113.597522,78.0,45.0,9.0
477,Portland ,632309.0,12.0,19,45.496641,-122.602877,19.0,3.0,10.0
478,Oklahoma City ,631346.0,366.0,44,35.502968,-97.577674,34.0,6.0,9.0
479,Nakhon Ratchasima,208781.0,187.0,82,14.979536999999999,102.09833499999999,82.0,31.0,17.0
480,Kerman,577514.0,1760.0,66,30.293696999999998,57.08758,66.0,60.0,7.0
481,Islamabad,601600.0,579.0,180,33.7235,73.11822,180.0,54.0,5.0
482,Sarajevo,696731.0,509.0,155,43.848324,18.363395999999998,155.0,15.0,20.0
483,Dushanbe,679400.0,767.0,42,38.55767,68.77592,42.0,34.0,11.0
484,Vientiane,196731.0,174.0,70,17.896122000000002,102.64,70.0,28.0,14.0
485,Yicheng,176006.0,10.0,38,31.3542,119.8177,38.0,58.0,1.0
486,Skoplje,474889.0,247.0,55,41.99249998,21.42361109,55.0,18.0,18.0
487,Dali,14760.0,1517.0,22,25.5811,100.2171,17.0,19.0,3.0
488,Rasht,594590.0,4.0,117,37.3165811,49.606527899999996,2.0,42.0,3.0
